scorer,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi,Swathi
bodyparts,B1,B1,B2,B2,B3,B3,B4,B4,T1,T1,T2,T2,T3,T3,T4,T4
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Secondary2_Rubikscube_other2d-0000\frame1.png,459.4928542,606.6879294,482.9580788,633.412213,570.9526712,630.153154,,,462.1001014,525.211455,486.8689496,542.1585617,576.8189774,542.8103735,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame101.png,497.7230513,580.4145152,521.7215765,599.0800348,617.7156773,598.1912005,,,498.6118856,491.5310886,524.3880793,498.6417627,622.5184636,498.1548132,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame151.png,515.6800581,557.2841507,548.5405901,571.5713385,637.1211547,574.4287761,,,522.823652,470.1323048,555.684184,472.275383,644.2647486,479.4189769,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame201.png,519.1898078,529.944267,533.3058128,610.2290451,617.1195921,610.2290451,,,555.3620705,484.067251,569.4780754,569.6455309,655.9386057,571.4100315,639.7032802,489.9887554
labeled-data\Secondary2_Rubikscube_other2d-0000\frame251.png,510.6226569,581.8548218,544.8065644,611.3772873,616.2820074,648.6688228,,,554.1294483,508.8255648,592.1978907,529.8020535,659.7887987,567.870496,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame301.png,519.7973491,540.0031057,548.5330317,576.0897769,632.7352646,582.1042221,,,536.5041413,459.1422313,567.244639,485.8730988,651.4468719,493.2240874,614.0236573,461.815318
labeled-data\Secondary2_Rubikscube_other2d-0000\frame351.png,,,550.746075,477.4696206,640.3165246,450.5495401,,,,,510.1212262,388.3886269,603.6073239,362.4474585,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame401.png,474.8713198,561.5506868,511.4715397,594.5626499,595.4367501,597.4332554,,,491.3773014,476.1501737,530.8481268,500.5503203,613.3780344,509.1621368,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame451.png,514.2777015,529.1439211,555.0422745,553.201702,620.5329,556.5430604,,,528.3114069,456.302307,570.4125233,473.6773709,637.2396923,481.0283595,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame501.png,627.2225433,527.8426678,671.9704106,546.6497425,758.872066,547.2982623,,,635.6533009,438.9954529,677.8070889,442.8865718,767.9513435,446.7776907,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame51.png,545.8684514,458.2876336,579.3676273,469.0326523,667.8560165,453.2311542,,,534.4913728,372.3274841,569.2546686,371.6954241,658.3751177,359.0542257,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame551.png,491.1595567,631.8660364,518.4434767,665.0491824,626.8417535,667.9987954,,,505.1702183,533.0540018,529.5045254,553.7012927,640.8524151,561.0753251,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame601.png,432.17159,592.7159815,456.663912,622.7190759,542.387039,625.7806162,,,443.1931349,513.1159349,467.6854569,531.4851764,555.8578161,539.4451811,520.3439492,516.1774752
labeled-data\Secondary2_Rubikscube_other2d-0000\frame651.png,549.9670703,485.224974,586.9030721,491.2690471,658.7603845,493.2837381,,,550.638634,407.9951522,590.2608904,406.6520249,661.4466392,410.0098432,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame701.png,565.1525997,521.2891281,599.1883681,533.097456,692.9603832,532.4028484,,,567.5900861,435.0101834,602.0768556,435.0101834,690.2097111,436.926115,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame751.png,478.5086403,573.1671581,505.5456619,590.7726606,588.5430306,593.9165003,,,486.0538557,492.0560933,513.7196452,501.4876125,597.9745497,506.5177561,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame801.png,585.9284093,492.4369094,617.5774932,507.5734278,709.7726505,506.1973807,,,588.6805036,403.68187,620.3295874,406.4339642,711.8367211,407.8100113,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame851.png,,,523.7636831,649.6148058,628.6461265,655.8300617,,,518.3253342,522.9789667,536.1941949,541.6247344,643.4073593,550.9476183,,
labeled-data\Secondary2_Rubikscube_other2d-0000\frame901.png,449.4201893,583.1932086,473.4384663,611.0038453,558.134496,614.1641449,,,460.7972679,503.5536584,484.8155449,523.7795759,568.8795147,529.4681152,537.9085785,507.3460179
labeled-data\Secondary2_Rubikscube_other2d-0000\frame951.png,516.9319581,583.411006,548.9431596,602.4946069,624.0463631,608.0350071,,,529.8595587,505.8454023,560.0239601,515.6950028,636.3583637,526.7758033,,
